Team1,Score1,Possession1,PassAccuracy1,PassTotal1,ShotsAccuracy1,ShotsTotal1,xG1,Team2,Score2,Possession2,PassAccuracy2,PassTotal2,ShotsAccuracy2,ShotsTotal2,xG2
Qatar,0,47,80,377,0,0,0.3,Ecuador,2,53,82,430,40,2,1.2
England,6,77,88,740,54,7,2.1,Iran,2,23,65,162,29,2,1.4
Senegal,0,46,78,333,27,4,0.9,Netherlands,2,54,78,387,30,3,0.7
UnitedStates,1,58,84,524,17,1,0.8,Wales,1,42,75,335,33,2,1.5
Argentina,1,69,83,546,36,5,2.2,SaudiArabia,2,31,66,195,67,2,0.1
Denmark,0,61,82,533,45,5,1.4,Tunisia,0,39,74,308,8,1,0.9
Mexico,0,60,80,436,36,4,0.7,Poland,0,40,70,255,20,1,0.9
France,4,62,88,678,26,6,4,Australia,1,38,83,391,25,1,0.5
Morocco,0,36,78,298,25,2,0.4,Croatia,0,64,84,581,20,1,0.5
Germany,1,74,87,727,32,8,3.1,Japan,2,26,68,204,33,4,1.5
Spain,7,81,92,1009,44,7,3.5,CostaRica,0,19,70,178,0,0,0
Belgium,1,53,83,451,33,3,0.8,Canada,0,47,81,392,10,2,2.4
Switzerland,1,51,82,455,43,3,1.4,Cameroon,0,49,82,442,63,5,0.7
Uruguay,0,56,81,475,10,1,0.6,KoreaRepublic,0,44,75,350,0,0,0.6
Portugal,3,62,87,572,40,4,2,Ghana,2,38,79,328,33,3,0.9
Brazil,2,59,85,534,39,9,2.4,Serbia,0,41,78,344,0,0,0.2
Wales,0,62,77,437,30,3,0.9,Iran,2,38,63,222,29,6,1.4
Qatar,1,45,79,362,30,3,1,Senegal,3,55,84,459,38,5,0.8
Netherlands,1,54,82,442,50,1,0.1,Ecuador,1,46,76,358,27,4,1.7
England,0,55,86,495,38,3,0.8,UnitedStates,0,45,82,378,10,1,0.6
Tunisia,0,59,74,418,29,4,0.9,Australia,1,41,66,264,22,2,0.6
Poland,2,37,74,249,33,3,1.6,SaudiArabia,0,63,83,483,27,4,1.7
France,2,49,84,455,29,6,2.4,Denmark,1,51,85,485,20,2,0.6
Argentina,2,58,83,471,40,2,0.3,Mexico,0,42,74,304,25,1,0.3
Japan,0,57,85,528,23,3,0.9,CostaRica,1,43,78,371,25,1,0.1
Belgium,0,67,86,602,30,3,1,Morocco,2,33,82,287,40,4,1.5
Croatia,4,49,81,402,77,10,2.6,Canada,1,51,82,435,25,2,0.4
Spain,1,64,85,569,43,3,0.6,Germany,1,36,75,287,36,4,1.3
Cameroon,3,41,69,271,62,8,2.2,Serbia,3,59,79,437,33,5,1.9
KoreaRepublic,2,63,82,494,27,6,1.8,Ghana,3,37,77,270,43,3,1.6
Brazil,1,54,85,511,38,5,1,Switzerland,0,46,82,423,0,0,0.3
Portugal,2,59,82,525,14,2,1.3,Uruguay,0,41,72,315,27,3,1.3
Netherlands,2,63,91,739,31,4,1.6,Qatar,0,37,81,390,60,3,0.1
Ecuador,1,61,76,365,44,4,0.9,Senegal,2,39,65,203,15,2,2.1
Wales,0,36,77,272,14,1,0.3,England,3,64,87,545,39,7,2.4
Iran,0,49,76,385,0,0,0.4,UnitedStates,1,51,80,417,42,5,1.2
Australia,1,32,62,215,50,4,0.6,Denmark,0,68,80,580,23,3,0.6
Tunisia,1,35,74,272,60,3,0.5,France,0,65,85,573,30,3,0.8
SaudiArabia,1,40,58,192,20,2,1.1,Mexico,2,60,72,357,38,10,2.3
Poland,0,27,77,264,0,0,0.3,Argentina,2,73,91,827,45,10,3.5
Croatia,0,49,82,508,36,4,0.7,Belgium,0,51,85,545,19,3,3
Canada,1,58,84,480,0,0,1.4,Morocco,2,42,76,311,33,2,0.5
Japan,2,18,67,165,50,3,1.4,Spain,1,82,90,995,42,5,1
CostaRica,2,32,74,274,75,6,1.3,Germany,4,68,87,672,34,11,5.7
KoreaRepublic,2,39,77,301,46,6,1.7,Portugal,1,61,85,532,46,6,1.3
Ghana,0,51,76,374,33,3,1.6,Uruguay,2,49,77,365,50,6,1.8
Cameroon,1,35,76,247,43,3,0.5,Brazil,0,65,85,507,33,7,2.5
Serbia,2,54,77,400,33,4,1.3,Switzerland,3,46,76,343,50,7,2.7
Netherlands,3,42,75,332,55,6,1.7,UnitedStates,1,58,80,497,35,6,1.5
Argentina,2,60,87,635,36,5,1.6,Australia,1,40,81,384,20,1,0.6
France,3,55,83,501,50,8,1.4,Poland,1,45,82,401,9,1,1.7
England,3,61,85,532,50,4,0.9,Senegal,0,39,79,315,10,1,0.7
Japan,1,42,73,427,31,4,1.2,Croatia,1,58,81,650,24,4,1.4
Brazil,4,53,88,560,47,8,3.6,KoreaRepublic,1,47,84,474,75,6,0.5
Morocco,0,24,68,241,33,2,0.7,Spain,0,76,89,969,8,1,1
Portugal,6,47,81,395,60,9,2.3,Switzerland,1,53,82,442,20,2,1.1
Croatia,1,50,86,636,11,1,0.6,Brazil,1,50,86,638,52,11,2.5
Netherlands,2,52,82,572,33,2,0.6,Argentina,2,48,82,526,31,4,1.9
Morocco,1,27,70,187,33,3,1.4,Portugal,0,73,83,606,25,3,0.9
England,1,57,85,463,43,6,2.4,France,2,43,79,325,63,5,0.9
Argentina,3,40,82,352,75,6,2.3,Croatia,0,60,85,558,17,2,0.5
France,2,39,79,309,14,2,2,Morocco,0,61,85,519,15,2,0.9
Croatia,2,50,83,431,33,4,0.7,Morocco,1,50,83,427,22,2,1.2
Argentina,3,54,80,554,47,9,3.2,France,3,46,74,436,38,3,2.2
